# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0071, 0.0071
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0074
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0074
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0075, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0072, 0.0072
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0072, 0.0073
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0074
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0073, 0.0074
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0074
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0075, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0082, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0072, 0.0073
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0073, 0.0073
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0075
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0072, 0.0073
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0074, 0.0074
